2026-03-27 19:21:47,043 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXNCAABBGAME-26MAR271600ALCAGL-ALC at 0.0100 and Buy YES on KXNCAABBGAME-26MAR271600ALCAGL-AGL at 0.9700 of size 200 | Combined Price: 196.5500
2026-03-27 20:21:38,407 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXNCAAMLAXGAME-26MAR28HAMMON-MON at 0.9400 and Buy YES on KXNCAAMLAXGAME-26MAR28HAMMON-HAM at 0.0400 of size 82 | Combined Price: 80.9200
2026-03-27 20:21:38,407 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXNCAAMLAXGAME-26MAR28HAMMON-HAM at 0.0400 and Buy YES on KXNCAAMLAXGAME-26MAR28HAMMON-MON at 0.9400 of size 82 | Combined Price: 80.9200
2026-03-27 20:21:39,431 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXNCAAMLAXGAME-26MAR28HAMMON-MON at 0.9400 and Buy YES on KXNCAAMLAXGAME-26MAR28HAMMON-HAM at 0.0400 of size 82 | Combined Price: 80.9200
2026-03-27 20:21:39,431 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXNCAAMLAXGAME-26MAR28HAMMON-HAM at 0.0400 and Buy YES on KXNCAAMLAXGAME-26MAR28HAMMON-MON at 0.9400 of size 82 | Combined Price: 80.9200
2026-03-27 20:21:40,447 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXNCAAMLAXGAME-26MAR28HAMMON-MON at 0.9400 and Buy YES on KXNCAAMLAXGAME-26MAR28HAMMON-HAM at 0.0400 of size 82 | Combined Price: 80.9200
2026-03-27 20:21:40,459 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXNCAAMLAXGAME-26MAR28HAMMON-HAM at 0.0400 and Buy YES on KXNCAAMLAXGAME-26MAR28HAMMON-MON at 0.9400 of size 82 | Combined Price: 80.9200
2026-03-27 20:21:41,481 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXNCAAMLAXGAME-26MAR28HAMMON-MON at 0.9400 and Buy YES on KXNCAAMLAXGAME-26MAR28HAMMON-HAM at 0.0400 of size 82 | Combined Price: 80.9200
2026-03-27 20:21:41,481 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXNCAAMLAXGAME-26MAR28HAMMON-HAM at 0.0400 and Buy YES on KXNCAAMLAXGAME-26MAR28HAMMON-MON at 0.9400 of size 82 | Combined Price: 80.9200
2026-03-27 20:21:42,505 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXNCAAMLAXGAME-26MAR28HAMMON-MON at 0.9400 and Buy YES on KXNCAAMLAXGAME-26MAR28HAMMON-HAM at 0.0400 of size 82 | Combined Price: 80.9200
2026-03-27 20:21:42,505 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXNCAAMLAXGAME-26MAR28HAMMON-HAM at 0.0400 and Buy YES on KXNCAAMLAXGAME-26MAR28HAMMON-MON at 0.9400 of size 82 | Combined Price: 80.9200
